angle,mu.intercept,mu.age,mu.age2,mu.age3,mu.rad,mu.rad2,mu.rad3,sigma.intercept,sigma.age,sigma.age2,sigma.age3,sigma.rad,sigma.rad2,sigma.rad3
37.0795306388527,-1.8516828768953,0,0.00300558036686313,-4.13193693864498e-05,19.4153941412669,0,0,2.65002926777753,0,1.90266720697365e-05,0,0,17.8064175448392,0
37.5488917861799,-2.00727472613312,0,0.00300403052034998,-4.06791631281967e-05,19.4982381034843,0,0,2.65431048569902,0,2.04047694560587e-05,0,0,18.6531626575673,0
38.0182529335072,-2.00114045157273,0,0.0029140119952757,-3.94516347583932e-05,19.4173795563735,0,0,2.66475194952366,0,2.08964430950171e-05,0,0,19.2495879475577,0
38.4876140808344,-1.88965755685403,0,0.00269901774563394,-3.66752371161045e-05,19.39193236251,0,0,2.61524575753067,0.00230621919335472,0,0,0,19.9126804882401,0
38.9569752281617,-1.95224525461068,0,0.00265087453467971,-3.58736160513078e-05,19.5355052474099,0,0,2.62261648129834,0.00240138566191757,0,0,0,20.1667886235787,0
39.4263363754889,-1.83096407726347,0,0.00244505908612892,-3.33665515849265e-05,19.5697944525148,0,0,2.69779310153431,0,2.23296805956117e-05,0,0,20.0343698429872,0
39.8956975228162,-1.73549418017671,0,0.00224947146243557,-3.10451259009948e-05,19.3869132703517,0,0,2.6492066796836,0.00241866255498967,0,0,0,19.7196283872663,0
40.3650586701434,0.32874524471613,0,0,-4.89428284339543e-06,19.074833863267,0,0,2.67027916556134,0.0023217826010973,0,0,0,19.1986781621747,0
40.8344198174707,0.281514666772923,0,0,-5.08521775333832e-06,18.3670386247978,0,0,2.7488384581326,0,2.04531048250345e-05,0,0,18.7195812597181,0
41.3037809647979,0.17710585873638,0,0,-5.1152482408547e-06,18.1510337321073,0,0,2.76694304638975,0,1.95806668641145e-05,0,0,17.9752502930809,0
41.7731421121252,0.133761147264737,0,0,-5.48386876899822e-06,17.4245545897815,0,0,2.78558873737248,0,1.92225292294566e-05,0,0,13.9904953426433,48.665052309932
42.2425032594524,0.0365914991490724,0,0,-5.57896999670822e-06,17.3199208179797,0,0,2.80190015974307,0,1.87471290903197e-05,0,0,13.0922038123944,49.9115464316642
42.7118644067797,-0.031433521001193,0,0,-5.80860957574819e-06,16.8929042961171,0,0,2.81694842722171,0,1.85396735145986e-05,0,0,12.3109126703978,50.6487260092098
43.1812255541069,-0.106120181791513,0,0,-6.09530170533509e-06,17.0090857859878,0,0,2.83288034275344,0,1.80823620315105e-05,0,0,11.9925647119937,48.1747081459391
43.6505867014342,-0.173785750815744,0,0,-6.28559403415083e-06,17.2981701683332,0,0,2.85051750677237,0,1.65552499803593e-05,0,0,11.8705807446492,47.863710308769
44.1199478487614,-0.271141043025686,0,0,-6.35005646705308e-06,17.7181343654398,0,0,2.87981677593316,0,0,1.78340372846156e-07,0,14.8815616523333,0
44.5893089960887,-0.350761162448848,0,0,-6.52288426415231e-06,18.4572614661777,0,0,2.89432446891109,0,0,1.68041246123984e-07,0,14.8456230627065,0
45.0586701434159,-0.434179755546812,0,0,-6.73066539659375e-06,19.1985707153346,0,0,2.90844309073194,0,0,1.66486495866318e-07,0,14.6261309075046,0
45.5280312907432,-0.514982881212729,0,0,-6.88163741725437e-06,19.8054454612784,0,0,2.92109487641424,0,0,1.62652837007336e-07,0,14.6591045007598,0
45.9973924380704,-0.594350520522052,0,0,-7.01255846853402e-06,21.3541280677094,0,0,2.93506555157837,0,0,1.56661610191162e-07,0,14.8776814843784,0
46.4667535853977,-0.621727243107077,0,0,-7.40007031331651e-06,21.7130192373191,0,0,2.94922584022526,0,0,1.51011939683874e-07,0,15.0444194182069,0
46.9361147327249,-0.709322298742749,0,0,-7.45376240899179e-06,22.9048934366975,0,0,2.9614072509511,0,0,1.52554264669091e-07,0,15.2149977085912,0
47.4054758800522,-0.783418257163044,0,0,-7.66563489486598e-06,23.9662925927829,0,0,2.9744267434674,0,0,1.50896244711414e-07,0,15.5837055287765,0
47.8748370273794,-0.227760228560128,0,-0.000668550870921844,0,25.2160697922225,0,0,2.98686417497356,0,0,1.47739997537539e-07,0,16.0497996049905,0
48.3441981747066,-0.302887387719142,0,-0.000679345605866292,0,26.3648599154764,0,0,2.99814374920812,0,0,1.44445038858214e-07,0,16.5641224568426,0
48.8135593220339,1.63508355007982,-0.0762866820058185,0,0,27.0226367010374,0,0,3.01005964312914,0,0,1.39504125020158e-07,0,17.1196466568228,0
49.2829204693612,1.53061052294043,-0.076117462278643,0,0,28.0557190700355,0,0,3.02143088395424,0,0,1.34273287992075e-07,0,17.6292032904095,0
49.7522816166884,1.44682672048913,-0.0764684695171839,0,0,28.9789994859427,0,0,3.03250933349677,0,0,1.30340684973537e-07,0,18.0228633179021,0
50.2216427640156,1.41860161019661,-0.0774013799249315,0,0,28.8229291112284,0,0,3.06605679681737,0,0,0,0,18.5392039596466,0
50.6910039113429,1.34323602747327,-0.0776549853241379,0,0,29.7034591926516,0,0,3.07699788203508,0,0,0,0,18.176647421621,0
51.1603650586701,1.1687470935309,-0.075943053500104,0,0,42.2968605453889,0,-2435.98981033779,3.08607017001973,0,0,0,0.58496132018666,15.968660750256,0
51.6297262059974,1.07586745740201,-0.0750734620955391,0,0,43.56340819543,0,-2564.01399879545,3.09648992468051,0,0,0,0.570827090771031,15.1746452383555,0
52.0990873533246,1.05352399329409,-0.0755301015929875,0,0,44.9875715155328,0,-2720.45509244986,3.10674736140125,0,0,0,0.528293355244462,14.5893599179382,0
52.5684485006519,1.03108058282547,-0.0754319595002942,0,0,43.9385708957223,0,-2597.71208025941,3.11794206426507,0,0,0,0,14.7941672405153,0
53.0378096479791,1.01061337896467,-0.0756939910776452,0,0,45.4738201172744,0,-2711.19221616987,3.10286502279952,0,0,1.34597938718783e-07,0,13.7086123223639,0
53.5071707953064,0.972914592976496,-0.0753095574459175,0,0,46.1298700371487,0,-2753.10661140419,3.11229317871791,0,0,1.40103610504923e-07,0,13.0558874675925,0
53.9765319426336,0.964979338698988,-0.075424250618361,0,0,46.0428879494607,0,-2727.60073843068,3.12172402938738,0,0,1.43942108739876e-07,0,12.3077144139267,0
54.4458930899609,0.997808918229097,-0.0765347830177694,0,0,46.1260956626808,0,-2704.19804727844,3.11651740894749,0,1.31085237336696e-05,0,0,11.697702644476,0
54.9152542372881,1.12415939069633,-0.0789727916450792,0,0,45.8036710557829,0,-2652.50271879238,3.12416215623539,0,1.35637739401161e-05,0,0,11.1647561413925,0
55.3846153846154,1.24195936598602,-0.080960545902109,0,0,45.4176727537717,0,-2570.59639194018,3.1311802881469,0,1.41541983068394e-05,0,0,10.6477187688256,0
55.8539765319426,1.43882363464106,-0.0844535813159039,0,0,44.7017866931151,0,-2520.88412648525,3.13783629165734,0,1.47840195483521e-05,0,0,10.2044355252593,0
56.3233376792699,1.88932644654938,-0.0872908823338829,0,0,34.7989865022524,-378.435249456131,0,3.15645285652891,0,0,1.76391395780745e-07,0,13.0871085221835,-40.8081515282651
56.7926988265971,2.25978612629892,-0.0935797916143452,0,0,34.7054755837511,-384.672237205654,0,3.16254988191601,0,0,1.88277652186498e-07,0,12.467038422135,-40.7648170675173
57.2620599739244,2.68387202030593,-0.100853508799881,0,0,34.1750272015616,-384.113985814609,0,3.16772385569451,0,0,2.04911717245775e-07,0,12.135833298593,-42.7803557347304
57.7314211212516,3.19883859236349,-0.10954375213235,0,0,33.9834504150317,-390.589747825713,0,3.17191229847855,0,0,2.24624972171772e-07,0,11.7466602936003,-42.5389076765705
58.2007822685789,3.80863797267327,-0.119600807943747,0,0,33.5523747142437,-399.458378148287,0,3.17629734176255,0,0,2.41479095852703e-07,0,11.6154176137865,-42.5870850847374
58.6701434159061,4.28930118631886,-0.127403998851917,0,0,33.8063861182253,-408.173625233658,0,3.17969713281991,0,0,2.57811689197531e-07,0,11.3862971174404,-43.4984684485521
59.1395045632334,4.90030418323287,-0.1371786316521,0,0,33.2831664965575,-421.977572576162,0,3.18439879050154,0,0,2.69993059468239e-07,0,11.3309304660115,-43.0583704770233
59.6088657105606,5.3860886946919,-0.144402438602875,0,0,33.5338187314341,-430.278276157787,0,3.18692241485544,0,0,2.8189253431213e-07,0,11.5302196639667,-44.9548846230472
60.0782268578879,5.88400712815234,-0.151924797723704,0,0,34.1629442284022,-450.089003955031,0,3.18918305619665,0,0,2.94976698377371e-07,0,11.6174038584833,-46.6435982054115
60.5475880052151,6.3781263175285,-0.159074657455705,0,0,33.6499885584982,-463.151653334887,0,3.19126302258756,0,0,3.04941441671498e-07,0,11.8891196638041,-48.5704461126396
61.0169491525424,6.69648283729925,-0.163155533585815,0,0,34.3573395271974,-453.579082069872,0,3.19067073235591,0,0,3.14760558558022e-07,0.628222228521764,12.9630464648106,-72.4502945886053
61.4863102998696,7.14122986204901,-0.168857330939725,0,0,34.3977635946815,-471.87091119814,0,3.29085535674042,0,-0.000100797630516897,1.47971330223049e-06,0.669782333446779,13.717607294994,-77.5027432627408
61.9556714471969,7.41713854868698,-0.170954852899882,0,0,34.5445757817751,-494.566870357594,0,3.29839902166303,0,-0.000106423918687932,1.54571670638419e-06,0.700755385466184,14.3347098785821,-81.5345395012108
